ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
416764521,Photo,Kea,Nestor notabilis,,Michael Violette,2020-07-31,2020,7,31,1338,New Zealand,NZ-WTC-057,West Coast,Westland District,"Auto selected -42.88827, 171.55658",-42.8882660,171.5565770,"",,Unspecified,"","",,,,,,,S72001053,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
415867851,Photo,Kea,Nestor notabilis,,Michael Violette,2020-08-10,2020,8,10,1741,New Zealand,NZ-STL-073,Southland,Southland District,"Auto selected -44.67703, 167.93912",-44.6770270,167.9391230,"",,Unspecified,"","",,,,,,,S72271478,"",,,,One bird in the campsite,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
415867841,Photo,Kea,Nestor notabilis,,Michael Violette,2020-08-10,2020,8,10,1741,New Zealand,NZ-STL-073,Southland,Southland District,"Auto selected -44.67703, 167.93912",-44.6770270,167.9391230,"",,Unspecified,"","",,,,,,,S72271478,"",,,,One bird in the campsite,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
415867831,Photo,Kea,Nestor notabilis,,Michael Violette,2020-08-10,2020,8,10,1741,New Zealand,NZ-STL-073,Southland,Southland District,"Auto selected -44.67703, 167.93912",-44.6770270,167.9391230,"",,Unspecified,"","",,,,,,,S72271478,"",,,,One bird in the campsite,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
415867821,Photo,Kea,Nestor notabilis,,Michael Violette,2020-08-10,2020,8,10,1741,New Zealand,NZ-STL-073,Southland,Southland District,"Auto selected -44.67703, 167.93912",-44.6770270,167.9391230,"",,Unspecified,"","",,,,,,,S72271478,"",,,,One bird in the campsite,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
413194991,Photo,Kea,Nestor notabilis,,Bart Donato,2014-10-23,2014,10,23,1200,New Zealand,NZ-WTC-057,West Coast,Westland District,NZ - Otira Viaduct Overlook,-42.8881653,171.5560627,"",,Unspecified,"","",,,,,,,S61657751,"",,,,,Nestor notabilis,kea1,Species,11606,,5.00,1,,2848,4272
413193861,Photo,Kea,Nestor notabilis,,Bart Donato,2014-10-24,2014,10,24,1000,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"NZ - Arthur's Pass (Devil's Punchbowl)",-42.9352181,171.5606976,"",,Unspecified,"","",,,,,,,S61657883,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,2848,4272
413193721,Photo,Kea,Nestor notabilis,,Bart Donato,2014-10-24,2014,10,24,1000,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"NZ - Arthur's Pass (Devil's Punchbowl)",-42.9352181,171.5606976,"",,Unspecified,"","",,,,,,,S61657883,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,2848,4272
412363901,Photo,Kea,Nestor notabilis,,Sally Veach,2017-04-14,2017,4,14,0,New Zealand,NZ-STL,Southland,,Fiordland NP--Milford Sound (General),-44.6669090,167.9153440,"",,Unspecified,"","",,,,,,,S101923601,"",,,,,Nestor notabilis,kea1,Species,11606,,3.00,1,,3452,4835
412363781,Photo,Kea,Nestor notabilis,,Sally Veach,2017-04-14,2017,4,14,0,New Zealand,NZ-STL,Southland,,Fiordland NP--Milford Sound (General),-44.6669090,167.9153440,"",,Unspecified,"","",,,,,,,S101923601,"",,,,,Nestor notabilis,kea1,Species,11606,,3.00,1,,3093,4362
412363741,Photo,Kea,Nestor notabilis,,Sally Veach,2017-04-14,2017,4,14,0,New Zealand,NZ-STL,Southland,,Fiordland NP--Milford Sound (General),-44.6669090,167.9153440,"",,Unspecified,"","",,,,,,,S101923601,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3456,3313
412363381,Photo,Kea,Nestor notabilis,,Sally Veach,2017-04-14,2017,4,14,0,New Zealand,NZ-STL,Southland,,Fiordland NP--Milford Sound (General),-44.6669090,167.9153440,"",,Unspecified,"","",,,,,,,S101923601,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3193,2207
411519231,Photo,Kea,Nestor notabilis,,jingyao wu,2018-06-18,2018,6,18,0,New Zealand,NZ-CAN-065,Canterbury,Mackenzie District,Mount Cook Backpacker Lodge,-43.7363076,170.0989942,"",,Unspecified,"","",,,,,,,S101765443,"",,,,,Nestor notabilis,kea1,Species,11606,,5.00,1,,2067,2756
411519051,Photo,Kea,Nestor notabilis,,jingyao wu,2018-06-18,2018,6,18,0,New Zealand,NZ-CAN-065,Canterbury,Mackenzie District,Mount Cook Backpacker Lodge,-43.7363076,170.0989942,"",,Unspecified,"","",,,,,,,S101765443,"",,,,,Nestor notabilis,kea1,Species,11606,,5.00,1,,1558,2078
